DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Identifying the Effect of Temporal Work Flexibility on Parental Time with Children;Juliane Scheffel;SFB649DP2011-024.pdf;2011;\N;20.05.2011;C7;"
J08,
J13,
J21,
J22
 "
How do Unusual Working Schedules Affect Social Life?;Juliane Scheffel;SFB649DP2011-025.pdf;2011;\N;20.05.2011;C7;"
J22,
J28,
J81,
D62
 "
Compensation of Unusual Working Schedules;Juliane Scheffel;SFB649DP2011-026.pdf;2011;\N;20.05.2011;C7;"
J22,
J31,
J33,
J81
 "
Estimation of the characteristics of a Lévy process observed at arbitrary frequency;Johanna Kappus,Markus Reiß;SFB649DP2011-027.pdf;2011;\N;30.05.2011;C12;"
C14,
C22
 "
Asymptotic equivalence and sufficiency for volatility estimation under microstructure noise;Markus Reiß;SFB649DP2011-028.pdf;2011;\N;30.05.2011;C12;"
C14,
C58
 "
Pointwise adaptive estimation for quantile regression;Markus Reiß,Yves Rozenholc,Charles A. Cuenod;SFB649DP2011-029.pdf;2011;\N;30.05.2011;C12;"
C14,
C31
 "
Developing web-based tools for the teaching of statistics: Our Wikis and the German Wikipedia;Sigbert Klinke;SFB649DP2011-030.pdf;2011;\N;31.05.2011;B1;"
A22,
A23
 "
What Explains the German Labor Market Miracle in the Great Recession?;Michael C. Burda,Jennifer Hunt;SFB649DP2011-031.pdf;2011;\N;03.06.2011;C7;"
E24,
E65,
J23,
J33
 "
The information content of central bank interest rate projections: Evidence from New Zealand;Gunda-Alexandra Detmers,Dieter Nautz;SFB649DP2011-032.pdf;2011;\N;07.06.2011;C14;"
E52,
E58
 "
Asymptotics of Asynchronicity;Markus Bibinger;SFB649DP2011-033.pdf;2011;\N;10.06.2011;C12;"
C14,
C32,
C58,
G10
 "
An estimator for the quadratic covariation of asynchronously observed Itô processes with noise: Asymptotic distribution theory;Markus Bibinger;SFB649DP2011-034.pdf;2011;\N;10.06.2011;C12;"
C14,
C32,
C58,
G10
 "
The economics of TARGET2 balances;Ulrich Bindseil,Philipp Johann König;SFB649DP2011-035.pdf;2011;\N;15.06.2011;C10;"
E58,
F33,
F55
 "
The Neural Basis of Following Advice;Guido Biele,Jörg Rieskamp,Lea K. Krugel,Hauke R. Heekeren;http://www.plosbiology.org/article/info%3Adoi%2F10.1371%2Fjournal.pbio.1001089;2011;\N;24.06.2011;A12;
Neurobiology of value integration: When value impacts valuation;Soyoung Q. Park,Thorsten Kahnt,Jörg Rieskamp,Hauke R. Heekeren;http://www.jneurosci.org/content/31/25/9307;2011;\N;24.06.2011;A12;
An Indicator for National Systems of Innovation - Methodology and Application to 17 Industrialized Countries;Heike Belitz,Marius Clemens,Christian von Hirschhausen,Jens Schmidt-Ehmcke,Axel Werwatz,Petra Zloczysti;SFB649DP2011-036.pdf;2011;\N;27.06.2011;B3;"
O30,
C81,
H52
 "
"The Persistence of ""Bad"" Precedents and the Need for Communication: A Coordination Experiment";Dietmar Fehr;SFB649DP2011-039.pdf;2011;\N;28.06.2011;A6;"C72, C92, D23, L23
 "
News-driven Business Cycles in SVARs;Patrick Bunk;SFB649DP2011-040.pdf;2011;\N;04.07.2011;C7;"
E30,
E32
 "
The Basel III framework for liquidity standards and monetary policy implementation;Ulrich Bindseil,Jeroen Lamoot;SFB649DP2011-041.pdf;2011;\N;11.07.2011;C10;"
E58,
G21,
G28
 "
Pollution permits, Strategic Trading and Dynamic Technology Adoption;Santiago Moreno-Bromberg,Luca Taschini;SFB649DP2011-042.pdf;2011;\N;11.07.2011;A11;"
D8,
H2,
L5,
Q5
 "
CRRA Utility Maximization under Risk Constraints;Santiago Moreno-Bromberg,Traian A. Pirvu,Anthony Réveillac;SFB649DP2011-043.pdf;2011;\N;11.07.2011;A11;"
G10
 "
Predicting Bid-Ask Spreads Using Long Memory Autoregressive Conditional Poisson Models;Axel Groß-Klußmann,Nikolaus Hautsch;SFB649DP2011-044.pdf;2011;\N;12.07.2011;B8;"
G14,
C32
 "
Bayesian Networks and Sex-related Homicides;Stephan Stahlschmidt,Helmut Tausendteufel,Wolfgang K. Härdle;SFB649DP2011-045.pdf;2011;\N;25.07.2011;B1;"
C49,
C81,
K42
 "
The Regulation of Interdependent Markets;Raffaele Fiocco, Carlo Scarpa;SFB649DP2011-046.pdf;2011;\N;28.07.2011;A8;"
D82,
L51
 "
Bargaining and Collusion in a Regulatory Model;Raffaele Fiocco, Mario Gilli;SFB649DP2011-047.pdf;2011;\N;28.07.2011;A8;"
D73,
D82,
L51
 "
Large Vector Auto Regressions;Song Song, Peter J. Bickel;SFB649DP2011-048.pdf;2011;\N;03.08.2011;B1;"
C13,
C14,
C32,
E30,
E40,
G10
 "
Monetary Policy, Determinacy, and the Natural Rate Hypothesis;Alexander Meyer-Gohde;SFB649DP2011-049.pdf;2011;\N;03.08.2011;C7;"
C62;
E31;
E43;
E52
 "
The impact of context and promotion on consumer responses and preferences in out-of-stock situations;Nicole Wiebach, Jana L. Diels;SFB649DP2011-050.pdf;2011;\N;09.08.2011;B2;"
M31,
C12,
C13,
C81
 "
A Network Model of Financial System Resilience;Kartik Anand, Prasanna Gai, Sujit Kapadia, Simon Brennan, Matthew Willison;SFB649DP2011-051.pdf;2011;\N;12.08.2011;C10;"
C63,
G01,
G17,
G21.
 "
Rollover risk, network structure and systemic financial crises;Kartik Anand, Prasanna Gai, Matteo Marsili;SFB649DP2011-052.pdf;2011;\N;12.08.2011;C10;"
C72,
G01,
G21
 "
When to Cross the Spread: Curve Following with Singular Control;Felix Naujokat, Ulrich Horst;SFB649DP2011-053.pdf;2011;\N;15.08.2011;A11;"
C61,
G11
 "
TVICA - Time Varying Independent Component Analysis and Its Application to Financial Data;Ray-Bing Chen, Ying Chen, Wolfgang K. Härdle;SFB649DP2011-054.pdf;2011;\N;19.08.2011;B1;"
C14,
C58,
G17
 "
Pricing Chinese rain: a multisite multi-period equilibrium pricing model for rainfall derivatives;Wolfgang K. Härdle, Maria Osipenko;SFB649DP2011-055.pdf;2011;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2011-055_q.zip;21.08.2011;B1;"
C22,
C51,
G13
 "
Limit Order Flow, Market Impact and Optimal Order Sizes: Evidence from NASDAQ TotalView-ITCH Data;Nikolaus Hautsch, Ruihong Huang;SFB649DP2011-056.pdf;2011;\N;25.08.2011;B8;"
G14,
C32,
G17
 "
Optimal liquidation in dark pools;Peter Kratz, Torsten Schöneborn;SFB649DP2011-058.pdf;2011;\N;01.09.2011;A11;"
C02,
C61,
G11
 "
Optimal Display of Iceberg Orders;"Gökhan Cebiro&#287;lu, Ulrich Horst";SFB649DP2011-057.pdf;2011;\N;29.08.2011;A11;"
C51,
C60,
C67,
D01,
D4,
D49,
G1
 "
The Merit of High-Frequency Data in Portfolio Allocation;Nikolaus Hautsch, Lada M. Kyj, Peter Malec;SFB649DP2011-059.pdf;2011;\N;29.09.2011;B8,B11;"
G11,
G17,
C58,
C14,
C38
 "
On the Continuation of the Great Moderation:New evidence from G7 Countries;Wenjuan Chen;SFB649DP2011-060.pdf;2011;\N;30.09.2011;C14;"
E20,
F01,
G01,
N10
 "
Forward-backward systems for expected utility maximization;Ulrich Horst, Ying Hu, Peter Imkeller, Anthony Reveillac, Jianing Zhang;SFB649DP2011-061.pdf;2011;\N;14.10.2011;A11;"
C61,
D52,
D53
 "
On heterogeneous latent class models with applications to the analysis of rating scores;Aurélie Bertrand,Christian M. Hafner;SFB649DP2011-062.pdf;2011;\N;17.10.2011;Z;"
C35,
C38,
C87,
M31
 "
Multivariate Volatility Modeling of Electricity Futures;Luc Bauwens,Christian M. Hafner,Diane Pierret;SFB649DP2011-063.pdf;2011;http://sfb649.wiwi.hu-berlin.de/papers/pdf/mDCC_Appendix-1.pdf;17.10.2011;Z;"
C32,
C53,
C58
 "
Semiparametric Estimation with Generated Covariates;Enno Mammen,Christoph Rothe,Melanie Schienle;SFB649DP2011-064.pdf;2011;\N;17.10.2011;B11;"
C14,
C31
 "
Linking corporate reputation and shareholder value using the publication of reputation rankings;Sven Tischer,Lutz Hildebrandt;SFB649DP2011-065.pdf;2011;\N;19.10.2011;B2;"
M14,
M31,
G14,
G11,
C12,
C13
 "
Monitoring, Information Technology and the Labor Share;Dorothee Schneider;SFB649DP2011-066.pdf;2011;\N;19.10.2011;C7;"
D24,
J30,
E25
 "
Minimal Supersolutions of BSDEs with Lower Semicontinuous Generators;Gregor Heyne,Michael Kupper,Christoph Mainberger;SFB649DP2011-067.pdf;2011;\N;19.10.2011;A11;"
C61,
C65,
G11
 "
Bargaining, Openness, and the Labor Share;Dorothee Schneider;SFB649DP2011-068.pdf;2011;\N;19.10.2011;C7;"
E25,
J23,
F16,
O33,
E02
 "
The Labor Share: A Review of Theory and Evidence;Dorothee Schneider;SFB649DP2011-069.pdf;2011;\N;19.10.2011;C7;"
E25,
J23,
J01
 "
The Power of Sunspots: An Experimental Analysis;Dietmar Fehr,Frank Heinemann,Aniol Llorente-Saguer;SFB649DP2011-070.pdf;2011;\N;26.10.2011;A6,C10;"
C72,
C92,
D84
 "
Financial Network Systemic Risk Contributions;Nikolaus Hautsch,Julia Schaumburg,Melanie Schienle;SFB649DP2011-072.pdf;2011;\N;26.10.2011;B8,B11;"
G01,
G18,
G32,
G38,
C21,
C51,
C63
 "
Econometric analysis of volatile art markets;Fabian Y. R. P. Bocart,Christian M. Hafner;SFB649DP2011-071.pdf;2011;\N;27.10.2011;Z;"
C14,
C43,
Z11
 "
Calibration of selfdecomposable Lévy models;Mathias Trabs;SFB649DP2011-073.pdf;2011;\N;03.11.2011;C12;"C14, G13
 "
Time-Varying Occupational Contents: An Additional Link between Occupational Task Profiles and Individual Wages;Alexandra Fedorets;SFB649DP2011-074.pdf;2011;\N;03.11.2011;A9;"
J24,
J62,
I21,
O39
 "
Changes in Occupational Demand Structure and their Impact on Individual Wages;Alexandra Fedorets;SFB649DP2011-075.pdf;2011;\N;03.11.2011;A9;"
J24,
J62,
I21,
P21
 "
Nonparametric Nonstationary Regression with Many Covariates;Melanie Schienle;SFB649DP2011-076.pdf;2011;\N;10.11.2011;B11;"
C14,
C22
 "
Increasing Weather Risk: Fact or Fiction?;Weining Wang,Ihtiyor Bobojonov,Wolfgang Karl Härdle,Martin Odening;SFB649DP2011-077.pdf;2011;\N;10.11.2011;B1,B10,C11;"
C00,
C14,
J01,
J31
 "
Spatially Adaptive Density Estimation by Localised Haar Projections;Florian Gach,Richard Nickl,Vladimir Spokoiny;SFB649DP2011-078.pdf;2011;\N;10.11.2011;B5;"
C14
 "
Martingale approach in pricing and hedging European options under regime-switching;Grigori N. Milstein,Vladimir Spokoiny;SFB649DP2011-079.pdf;2011;\N;10.11.2011;B5;"
C58
 "
Sparse Non Gaussian Component Analysis by Semidefinite Programming;Elmar Diederichs,Anatoli Juditsky,Arkadi Nemirovski,Vladimir Spokoiny;SFB649DP2011-080.pdf;2011;\N;10.11.2011;B5;"C14
 "
Parametric estimation. Finite sample theory;Vladimir Spokoiny;SFB649DP2011-081.pdf;2011;\N;16.11.2011;B5;"C13, C14
 "
Continuous Equilibrium under Base Preferences and Attainable Initial Endowments;Ulrich Horst,Michael Kupper,Andrea Macrina,Christoph Mainberger;SFB649DP2011-082.pdf;2011;\N;16.11.2011;A11;"
C62,
D52,
D53
 "
Equilibrium Pricing in Incomplete Markets under Translation Invariant Preferences;Patrick Cheridito,Ulrich Horst,Traian A. Pirvu;SFB649DP2011-083.pdf;2011;\N;16.11.2011;A11;"
C62,
D52,
D53
 "
Competition and regulation in a differentiated good market;Raffaele Fiocco;SFB649DP2011-084.pdf;2011;\N;30.11.2011;A8;"
D82,
L11,
L51
 "
Risk Patterns and Correlated Brain Activities. Multidimensional statistical analysis of fMRI data with application to risk patterns;"Alena Myši&#269;ková,Song Song,Piotr Majer,Peter N.C. Mohr,Hauke R. Heekeren,Wolfgang K. Härdle";SFB649DP2011-085.pdf;2011;/papers/pdf/SFB649DP2011-085.rar;01.12.2011;A12,B1;"D8,
C14,
C3
 "
Spectral estimation of covolatility from noisy observations using local weights;Markus Bibinger,Markus Reiß;SFB649DP2011-086.pdf;2011;\N;07.12.2011;C12;"
C14,
C32,
C58,
G10
 "
Solving DSGE Models with a Nonlinear Moving Average;Hong Lan,Alexander Meyer-Gohde;SFB649DP2011-087.pdf;2011;/papers/pdf/SFB649DP2011-087.zip;15.12.2011;C7;"
C61,
C63,
E17
 "
Volatility Investing with Variance Swaps;Wolfgang Karl Härdle,Elena Silyakova;SFB649DP2010-001.pdf;2010;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2010-001_Q.zip;07.01.2010;B1;"C14,
G13
 "
Partial Linear Quantile Regression and Bootstrap Confidence Bands;Wolfgang Karl Härdle,Ya’acov Ritov,Song Song;SFB649DP2010-002.pdf;2010;\N;07.01.2010;B1;"
C14,
C21,
C31,
J01,
J31,
J71
 "
Uniform confidence bands for pricing kernels;Wolfgang Karl Härdle,Yarema Okhrin,Weining Wang;SFB649DP2010-003.pdf;2010;\N;07.01.2010;B1;"
C00,
C14,
J01,
J31
 "
Bayesian Inference in a Stochastic Volatility Nelson-Siegel Model;Nikolaus Hautsch,Fuyu Yang;SFB649DP2010-004.pdf;2010;\N;13.01.2010;B8;"
C5,
C11,
C32
 "
The Impact of Macroeconomic News on Quote Adjustments, Noise, and Informational Volatility;Nikolaus Hautsch,Dieter Hess,David Veredas;SFB649DP2010-005.pdf;2010;\N;13.01.2010;B8;"
C32,
G14,
E44
 "
Bayesian Estimation and Model Selection in the Generalised Stochastic Unit Root Model;Fuyu Yang,Roberto Leon-Gonzalez;SFB649DP2010-006.pdf;2010;\N;20.01.2010;B8;"
C11,
C32
 "
Two-sided Certification: The market for Rating Agencies;Erik R. Fasten,Dirk Hofmann;SFB649DP2010-007.pdf;2010;\N;20.01.2010;A8;"
G14,
G24,
L15,
D82
 "
Characterising Equilibrium Selection in Global Games with Strategic Complementarities;Christian Basteck,Tijmen R. Daniëls,Frank Heinemann;SFB649DP2010-008.pdf;2010;\N;21.01.2010;C10;"
C72,
D82
 "
Predicting extreme VaR: Nonparametric quantile regression with refinements from extreme value theory;Julia Schaumburg;SFB649DP2010-009.pdf;2010;\N;04.02.2010;B8;"
C14,
C22,
C52,
C53
 "
Illiquidity and Derivative Valuation;Ulrich Horst,Felix Naujokat;SFB649DP2010-011.pdf;2010;\N;04.02.2010;A11;"
C73,
G12,
G13
 "
Dynamic Systems of Social Interactions;Ulrich Horst;SFB649DP2010-012.pdf;2010;\N;04.02.2010;A11;"
C63,
D50,
D71
 "
The dynamics of hourly electricity prices;Wolfgang Karl Härdle,Stefan Trück;SFB649DP2010-013.pdf;2010;\N;04.02.2010;B1;"
G12,
C19,
C13,
Q47
 "
Crisis? What Crisis? Currency vs. Banking in the Financial Crisis of 1931;Albrecht Ritschl,Samad Sarferaz;SFB649DP2010-014.pdf;2010;\N;04.02.2010;Z;"
N12,
N13,
E37,
E47,
C53
 "
Estimation of the characteristics of a Lévy process observed at arbitrary frequency;Johanna Kappus,Markus Reiß;SFB649DP2010-015.pdf;2010;\N;04.02.2010;C12;"
G13,
C14
 "
Honey, I’ll Be Working Late Tonight. The Effect of Individual Work Routines on Leisure Time Synchronization of Couples;Juliane Scheffel;SFB649DP2010-016.pdf;2010;\N;10.02.2010;C7;"
D13,
J12,
J16,
J22
 "
The Impact of ICT Investments on the Relative Demand for High-, Medium-, and Low-Skilled Workers: Industry versus Country Analysis;Dorothee Schneider;SFB649DP2010-017.pdf;2010;\N;10.02.2010;C7;"
J21,
J23,
J31
 "
Time varying Hierarchical Archimedean Copulae;Wolfgang Karl Härdle,Ostap Okhrin,Yarema Okhrin;SFB649DP2010-018.pdf;2010;\N;17.02.2010;B1,B10;"
C13,
C14,
C50
 "
On Securitization, Market Completion and Equilibrium Risk Transfer;Ulrich Horst,Traian A. Pirvu,Gonçalo Dos Reis;SFB649DP2010-010.pdf;2010;\N;08.03.2010;A11;"
G12,
D52,
C62,
C68
 "
Monetary Transmission Right from the Start: The (Dis)Connection Between the Money Market and the ECB’s Main Refinancing Rates;Puriya Abbassi,Dieter Nautz;SFB649DP2010-019.pdf;2010;\N;19.03.2010;C14,Z;"
E43,
E52,
E58,
D44
 "
Aggregate Hazard Function in Price-Setting: A Bayesian Analysis Using Macro Data;Fang Yao;SFB649DP2010-020.pdf;2010;\N;01.04.2010;C7;"
E12,
E31
 "
Nonparametric Estimation of Risk-Neutral Densities;Maria Grith,Wolfgang Karl Härdle,Melanie Schienle;SFB649DP2010-021.pdf;2010;\N;01.04.2010;B1,B11;"
C13,
C14,
G12
 "
Fitting high-dimensional Copulae to Data;Ostap Okhrin;SFB649DP2010-022.pdf;2010;\N;15.04.2010;B10;"
C13,
C14,
C50
 "
The (In)stability of Money Demand in the Euro Area: Lessons from a Cross-Country Analysis;Dieter Nautz,Ulrike Rondorf;SFB649DP2010-023.pdf;2010;\N;15.04.2010;C14;"
E41,
E51,
E52
 "
The optimal industry structure in a vertically related market;Raffaele Fiocco;SFB649DP2010-024.pdf;2010;\N;22.04.2010;A8;"
D82,
L11,
L51
 "
Herding of Institutional Traders;Stephanie Kremer;SFB649DP2010-025.pdf;2010;\N;27.04.2010;C14;"
G11,
G24,
C23
 "
Non-Gaussian Component Analysis: New Ideas, New Proofs, New Applications;Vladimir Panov;SFB649DP2010-026.pdf;2010;\N;11.05.2010;B7;"
C13,
C14
 "
Liquidity and Capital Requirements and the Probability of Bank Failure;Philipp Johann König;SFB649DP2010-027.pdf;2010;\N;18.05.2010;C10;"
G21,
G28
 "
Social Relationships and Trust;Christine Binzel,Dietmar Fehr;SFB649DP2010-028.pdf;2010;\N;20.05.2010;A6;"
C72,
C93,
D82,
O12
 "
Adaptive Interest Rate Modelling;Mengmeng Guo,Wolfgang Karl Härdle;SFB649DP2010-029.pdf;2010;\N;26.05.2010;B1;"
E44,
G12,
G32,
N22
 "
Can the New Keynesian Phillips Curve Explain Inflation Gap Persistence?;Fang Yao;SFB649DP2010-030.pdf;2010;\N;03.06.2010;C7;"
E12;
E31
 "
Modeling Asset Prices;James E. Gentle, Wolfgang Karl Härdle;SFB649DP2010-031.pdf;2010;\N;08.06.2010;B1;"
C15
 "
Learning Machines Supporting Bankruptcy Prediction;Wolfgang Karl Härdle,Rouslan Moro,Linda Hoffmann;SFB649DP2010-032.pdf;2010;\N;08.06.2010;B1;"
C14,
G33,
C45
 "
Sensitivity of risk measures with respect to the normal approximation of total claim distributions;Volker Krätschmer,Henryk Zähle;SFB649DP2010-033.pdf;2010;\N;15.06.2010;B5;"
G22,
G32
 "
Sociodemographic, Economic, and Psychological Drivers of the Demand for Life Insurance: Evidence from the German Retirement Income Act;Carolin Hecht,Katja Hanewald;SFB649DP2010-034.pdf;2010;\N;06.07.2010;B9;"
D12,
D14,
D91,
G22,
K34
 "
Efficiency and Equilibria in Games of Optimal Derivative Design;Ulrich Horst,Santiago Moreno-Bromberg;SFB649DP2010-035.pdf;2010;\N;06.07.2010;A11;"
C62,
C72,
D43,
D82,
G14
 "
Why Do Financial Market Experts Misperceive Future Monetary Policy Decisions?;Sandra Schmidt,Dieter Nautz;SFB649DP2010-036.pdf;2010;\N;06.07.2010;C14;"
E47,
E52,
E58,
C23
 "
Dynamical systems forced by shot noise as a new paradigm in the interest rate modeling;Alexander L. Baranovski;SFB649DP2010-037.pdf;2010;\N;06.07.2010;B7;"
C13,
C20
and
C22
 "
Pre-Averaging Based Estimation of Quadratic Variation in the Presence of Noise and Jumps: Theory, Implementation, and Empirical Evidence;Nikolaus Hautsch,Mark Podolskij;SFB649DP2010-038.pdf;2010;\N;22.07.2010;B8;"
C14,
C22,
G10
 "
High Dimensional Nonstationary Time Series Modelling with Generalized Dynamic Semiparametric Factor Model;Song Song,Wolfgang K. Härdle,Ya'acov Ritov;SFB649DP2010-039.pdf;2010;http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2010-039.zip;03.08.2010;B1;"
C14,
C32,
G12
 "
Stochastic Mortality, Subjective Survival Expectations, and Individual Saving Behavior;Thomas Post,Katja Hanewald;SFB649DP2010-040.pdf;2010;\N;04.08.2010;B9;"
D14,
D84,
D91,
H31,
J11
 "
Prognose mit nichtparametrischen Verfahren;Wolfgang Karl Härdle,Rainer Schulz,Weining Wang;SFB649DP2010-041.pdf;2010;\N;31.08.2010;B1;"
C14,
C32,
G12
 "
Payroll Taxes, Social Insurance and Business Cycles;Michael C. Burda,Mark Weder;SFB649DP2010-042.pdf;2010;\N;31.08.2010;C7;"
E24,
J64,
E32
 "
Meteorological forecasts and the pricing of weather derivatives;Matthias Ritter,Oliver Mußhoff,Martin Odening;SFB649DP2010-043.pdf;2010;\N;07.09.2010;C11;"C53, G13, G17, N23
 "
The High Sensitivity of Employment to Agency Costs: The Relevance of Wage Rigidity;Atanas Hristov;SFB649DP2010-044.pdf;2010;\N;07.09.2010;C7;"
E24,
E32,
J64,
G24
 "
Parametric estimation of risk neutral density functions;Maria Grith,Volker Krätschmer;SFB649DP2010-045.pdf;2010;\N;09.09.2010;B1,B5;"
C13,
C16,
G12,
G13
 "
Mandatory IFRS adoption and accounting comparability;Stefano Cascino,Joachim Gassen;SFB649DP2010-046.pdf;2010;\N;07.10.2010;A7;"
M41,
G14,
F42
 "
FX Smile in the Heston Model;"Agnieszka Janek,Tino Kluge,Rafa&#322; Weron,Uwe Wystup";SFB649DP2010-047.pdf;2010;\N;14.10.2010;B1;"
C5,
C63,
G13
 "
Building Loss Models;"Krzysztof Burnecki,Joanna Janczura,Rafa&#322; Weron";SFB649DP2010-048.pdf;2010;\N;14.10.2010;B1;"
C15,
C46,
C63,
G22,
G32
 "
Models for Heavy-tailed Asset Returns;"Szymon Borak,Adam Misiorek,Rafa&#322; Weron";SFB649DP2010-049.pdf;2010;\N;14.10.2010;B1;"
C13,
C15,
C16,
G32
 "
Estimation of the signal subspace without estimation of the inverse covariance matrix;Vladimir Panov;SFB649DP2010-050.pdf;2010;\N;14.10.2010;B7;"
C13,
C14
 "
Executive Compensation Regulation and the Dynamics of the Pay-Performance Sensitivity;Ralf Sabiwalsky;SFB649DP2010-051.pdf;2010;\N;27.10.2010;Z;"
G38,
K22,
M52
 "
Central limit theorems for law-invariant coherent risk measures;Denis Belomestny,Volker Krätschmer;SFB649DP2010-052.pdf;2010;\N;27.10.2010;B5,B7;"
D81,
G32
 "
Systemic Weather Risk and Crop Insurance: The Case of China;Wei Xu,Ostap Okhrin,Martin Odening,Ji Cao;SFB649DP2010-053.pdf;2010;\N;27.10.2010;B10,C11;"
C14,
Q19
 "
Spatial Dependencies in German Matching Functions;Franziska Schulze;SFB649DP2010-054.pdf;2010;\N;03.11.2010;B8;"
C21,
C23,
J64,
J63,
R12
 "
Capturing the Zero: A New Class of Zero-Augmented Distributions and Multiplicative Error Processes;Nikolaus Hautsch,Peter Malec,Melanie Schienle;SFB649DP2010-055.pdf;2010;\N;18.11.2010;B8,B11;"
C22,
C25,
C14,
C16,
C51
 "
Context Effects as Customer Reaction on Delisting of Brands;Nicole Wiebach,Lutz Hildebrandt;SFB649DP2010-056.pdf;2010;\N;22.11.2010;B2;"
M31,
C12,
C13,
C25,
C38
 "
Consumption Growth and Volatility with Consumption Externalities;Runli Xie;SFB649DP2010-057.pdf;2010;\N;22.11.2010;C7;"
E21,
D91,
D31,
D64
 "
Inflation, Price Dispersion and Market Integration through the Lens of a Monetary Search Model;Sascha S. Becker,Dieter Nautz;SFB649DP2010-058.pdf;2010;\N;25.11.2010;C14;"
C23,
D40,
E31,
F40
 "
Nonparametric Regression with Nonparametrically Generated Covariates;Enno Mammen,Christoph Rothe,Melanie Schienle;SFB649DP2010-059.pdf;2010;\N;06.12.2010;B11;"
C14,
C31
 "
Communal Responsibility and the Coexistence of Money and Credit Under Anonymous Matching;Lars Boerner,Albrecht Ritschl;SFB649DP2010-060.pdf;2010;\N;21.12.2010;Z;"
E41,
D51,
N2
 "
Every Symmetric 3 x 3 Global Game of Strategic Complementarities Is Noise Independent;Christian Basteck,Tijmen R. Daniëls;SFB649DP2010-061.pdf;2010;\N;21.12.2010;C10;"
C72,
D82
 "
The Norges Bank’s key rate projections and the news element of monetary policy: a wavelet based jump detection approach;Lars Winkelmann;SFB649DP2010-062.pdf;2010;\N;21.12.2010;C14;"
E52,
E58,
C14
 "
How the brain integrates costs and benefits during decision making.;Basten U., Biele G. P., Heekeren H. R., Fiebach C. J.;http://www.pnas.org/content/107/50/21767;2010;\N;31.12.2010;A12;
Variability in brain activity as an individual difference measure in neuroscience?;Mohr, P.N.C., Nagel, I.E.;http://www.ncbi.nlm.nih.gov/pubmed/19501615;2010;\N;31.12.2010;A12;
Neural Processing of Risk;Mohr, P.N.C., Biele, G., Heekeren, H.R.;http://www.jneurosci.org/content/30/19/6613.full;2010;\N;31.12.2010;A12;
Implied Market Price of Weather Risk;Wolfgang Härdle,Brenda López Cabrera;SFB649DP2009-001.pdf;2009;http://fedc.wiwi.hu-berlin.de/quantnet/index.php?p=show&id=991;01.01.2009;B1;G19, G29, N26, N56, Q29, Q54
On the Systemic Nature of Weather Risk;Guenther Filler,Martin Odening,Ostap Okhrin,Wei Xu;SFB649DP2009-002.pdf;2009;\N;02.01.2009;B10,C11;"
C14,
Q19
 "
Localized Realized Volatility Modelling;Ying Chen,Wolfgang Härdle,Uta Pigorsch;SFB649DP2009-003.pdf;2009;\N;22.01.2009;B1;"
 "
New recipes for estimating default intensities;Alexander Baranovski,Carsten von Lieres,André Wilch;SFB649DP2009-004.pdf;2009;\N;22.01.2009;B7;"
C13,
C20,
C22
 "
Panel Cointegration Testing in the Presence of a Time Trend;Bernd Droge,Deniz Dilan Karaman Örsal;SFB649DP2009-005.pdf;2009;\N;22.01.2009;C2;"
C33,
C12,
C15
 "
Regulatory Risk under Optimal Incentive Regulation;Roland Strausz;SFB649DP2009-006.pdf;2009;\N;22.01.2009;A8;"
L51,
D82
 "
Combination of multivariate volatility forecasts;Alessandra Amendola,Giuseppe Storti;SFB649DP2009-007.pdf;2009;\N;28.01.2009;Z;"
C52,
C53,
C32,
G11,G17
 "
Mortality modeling: Lee-Carter and the macroeconomy;Katja Hanewald;SFB649DP2009-008.pdf;2009;\N;28.01.2009;B9;"
C32,
E32,
I12,
J11
 "
Stochastic Population Forecast for Germany and its Consequence for the German Pension System;Wolfgang Härdle,Alena Mysickova;SFB649DP2009-009.pdf;2009;\N;17.02.2009;B1;"
J11,
J13,
C53,
C22
 "
A Microeconomic Explanation of the EPK Paradox;Wolfgang Härdle,Volker Krätschmer,Rouslan Moro;SFB649DP2009-010.pdf;2009;\N;17.02.2009;B1;"
D01,
D58,
C02,
G13
 "
Defending Against Speculative Attacks;Tijmen Daniëls,Henk Jager,Franc Klaassen;SFB649DP2009-011.pdf;2009;\N;17.02.2009;C10;"
E58,
F31,
F33,
G15
 "
On the Existence of the Moments of the Asymptotic Trace Statistic;Deniz Dilan Karaman Örsal,Bernd Droge;SFB649DP2009-012.pdf;2009;\N;20.02.2009;C2;"
C32,
C33,
C12
 "
CDO Pricing with Copulae;"Barbara Choro&#347;,Wolfgang Härdle,Ostap Okhrin";SFB649DP2009-013.pdf;2009;\N;06.03.2009;B1,B10;"
C14,
G12,
G13
 "
Properties of Hierarchical Archimedean Copulas;Ostap Okhrin,Yarema Okhrin,Wolfgang Schmid;SFB649DP2009-014.pdf;2009;\N;06.03.2009;B10;"
C16,
C46
 "
Stochastic Mortality, Macroeconomic Risks, and Life Insurer Solvency;Katja Hanewald,Thomas Post,Helmut Gründl;SFB649DP2009-015.pdf;2009;\N;17.03.2009;B9;"
G22,
G23,
G28,
G32,
E32,
J11
 "
